Potential (V),Current (A)
0.798662897,9.29E-08
0.786087937,5.92E-08
0.774739802,2.93E-08
0.762164843,5.04E-10
0.750816708,2.20E-08
0.738548454,2.99E-09
0.726280201,4.62E-09
0.71462536,-2.01E-08
0.7020504,-1.19E-08
0.690395559,-3.72E-08
0.678434012,-9.04E-08
0.666779171,-1.10E-07
0.65512433,-1.30E-07
0.641935957,-5.30E-07
0.630894529,1.63E-07
0.618319569,-3.56E-07
0.606664728,-2.01E-08
0.594396474,-5.74E-07
0.582128221,-2.01E-08
0.570780086,-7.75E-07
0.558511833,-9.94E-07
0.546550285,-1.70E-06
0.534588738,-7.81E-06
0.522933897,-1.09E-05
0.510665644,-1.45E-05
0.499010803,-1.84E-05
0.486435843,-2.35E-05
0.474781002,-2.86E-05
0.462512748,-3.39E-05
0.451164614,-3.94E-05
0.43889636,-4.43E-05
0.426934813,-4.87E-05
0.414666559,-5.24E-05
0.402705012,-5.50E-05
0.390743465,-5.70E-05
0.378781917,-5.81E-05
0.366513664,-5.84E-05
0.35424541,-5.85E-05
0.342590569,-5.79E-05
0.330935728,-5.71E-05
0.318667475,-5.62E-05
0.306399221,-5.50E-05
0.29474438,-5.40E-05
0.283089539,-5.27E-05
0.271127992,-5.17E-05
0.259473151,-5.05E-05
0.246591485,-4.93E-05
0.234629938,-4.82E-05
0.22266839,-4.72E-05
0.210706843,-4.62E-05
0.198745296,-4.51E-05
0.187090455,-4.43E-05
0.174822201,-4.33E-05
0.162860654,-4.25E-05
0.150899107,-4.16E-05
0.138324147,-4.10E-05
0.126669306,-4.01E-05
0.114707759,-3.94E-05
0.102439505,-3.87E-05
0.09109137,-3.80E-05
0.079129823,-3.75E-05
0.066248157,-3.68E-05
0.054900022,-3.64E-05
0.042631769,-3.58E-05
0.030976928,-3.51E-05
0.018708674,-3.49E-05
0.00644042,-3.43E-05
-0.005521127,-3.37E-05
-0.017175968,-3.34E-05
-0.029137515,-3.31E-05
-0.041099062,-3.26E-05
-0.052753903,-3.22E-05
-0.065328863,-3.19E-05
-0.077597117,-3.16E-05
-0.089251958,-3.16E-05
-0.101213505,-3.15E-05
-0.113481759,-3.18E-05
-0.125136599,-3.24E-05
-0.13679144,-3.31E-05
-0.149059694,-3.41E-05
-0.161634654,-3.53E-05
-0.173289495,-3.67E-05
-0.184944336,-3.82E-05
-0.197212589,-3.97E-05
-0.20886743,-4.12E-05
-0.22144239,-4.26E-05
-0.233097231,-4.40E-05
-0.245058778,-4.52E-05
-0.257940445,-4.62E-05
-0.268981873,-4.70E-05
-0.281556833,-4.76E-05
-0.29351838,-4.83E-05
-0.305479927,-4.89E-05
-0.317134768,-4.94E-05
-0.329096316,-4.98E-05
-0.341364569,-5.03E-05
-0.353632823,-5.09E-05
-0.365287664,-5.11E-05
-0.376942505,-5.18E-05
-0.389210758,-5.22E-05
-0.398105242,-5.18E-05
-0.385836989,-4.93E-05
-0.373875441,-4.71E-05
-0.361913894,-4.56E-05
-0.350259053,-4.40E-05
-0.337990799,-4.28E-05
-0.326335959,-4.14E-05
-0.314067705,-4.06E-05
-0.30271957,-3.94E-05
-0.289837904,-3.84E-05
-0.278183063,-3.75E-05
-0.266221516,-3.64E-05
-0.253953262,-3.57E-05
-0.241991715,-3.47E-05
-0.229723461,-3.38E-05
-0.218375327,-3.30E-05
-0.206107073,-3.21E-05
-0.19383882,-3.12E-05
-0.181877272,-3.03E-05
-0.170222431,-2.93E-05
-0.157954178,-2.85E-05
-0.146299337,-2.74E-05
-0.134031083,-2.65E-05
-0.12176283,-2.56E-05
-0.110414695,-2.43E-05
-0.098453148,-2.35E-05
-0.086184894,-2.23E-05
-0.074223347,-2.16E-05
-0.061648387,-2.05E-05
-0.050300252,-1.98E-05
-0.038031999,-1.89E-05
-0.025763745,-1.81E-05
-0.013802198,-1.76E-05
-0.002147357,-1.68E-05
0.010120897,-1.62E-05
0.021775737,-1.59E-05
0.033737285,-1.53E-05
0.046005538,-1.50E-05
0.057967086,-1.46E-05
0.069928633,-1.42E-05
0.08189018,-1.39E-05
0.094158434,-1.38E-05
0.106119981,-1.38E-05
0.118388235,-1.37E-05
0.129736369,-1.36E-05
0.142004623,-1.35E-05
0.154272876,-1.34E-05
0.166234424,-1.35E-05
0.178195971,-1.36E-05
0.190157518,-1.37E-05
0.201812359,-1.39E-05
0.214080613,-1.39E-05
0.225735454,-1.40E-05
0.238003707,-1.40E-05
0.249965255,-1.40E-05
0.261926802,-1.39E-05
0.273888349,-1.38E-05
0.286156603,-1.37E-05
0.297811444,-1.37E-05
0.310079697,-1.36E-05
0.322347951,-1.33E-05
0.333696085,-1.29E-05
0.345964339,-1.24E-05
0.358232593,-1.18E-05
0.37019414,-1.11E-05
0.381542274,-1.00E-05
0.393810528,-8.62E-06
0.405772075,-6.82E-06
0.417733623,-4.51E-06
0.42969517,-1.55E-06
0.441656717,2.01E-06
0.453618264,6.84E-06
0.465886518,1.23E-05
0.478154772,1.83E-05
0.489502906,2.50E-05
0.50177116,3.15E-05
0.513732707,3.76E-05
0.525694254,4.26E-05
0.537962508,4.64E-05
0.549924055,4.88E-05
0.561885602,4.99E-05
0.573540443,5.00E-05
0.585195284,4.94E-05
0.598076951,4.79E-05
0.610038498,4.60E-05
0.622000045,4.41E-05
0.633961592,4.22E-05
0.646229846,4.03E-05
0.657271274,3.82E-05
0.67015294,3.64E-05
0.681501075,3.48E-05
0.693769329,3.31E-05
0.706037582,3.18E-05
0.717385717,3.04E-05
0.729960677,2.91E-05
0.741615518,2.81E-05
0.754190478,2.68E-05
0.765538612,2.59E-05
0.777806866,2.50E-05
0.789461707,2.41E-05
0.797436072,2.30E-05
0.786087937,2.13E-05
0.773512977,2.04E-05
0.76155143,1.93E-05
0.749896589,1.84E-05
0.737628335,1.78E-05
0.725973494,1.69E-05
0.713398534,1.61E-05
0.702357106,1.56E-05
0.689782146,1.50E-05
0.677820599,1.42E-05
0.665245639,1.34E-05
0.654204211,1.30E-05
0.641935957,1.24E-05
0.629667704,1.17E-05
0.61739945,1.08E-05
0.605744609,9.80E-06
0.593169649,8.65E-06
0.581514808,7.38E-06
0.569859967,5.89E-06
0.55789842,4.05E-06
0.545936873,1.50E-06
0.533975325,-7.06E-07
0.522013778,-5.78E-06
0.509745525,-1.05E-05
0.497783977,-1.56E-05
0.485515724,-2.11E-05
0.474167589,-2.70E-05
0.461899336,-3.28E-05
0.449631082,-3.79E-05
0.437669535,-4.24E-05
0.425707987,-4.60E-05
0.41374644,-4.85E-05
0.402091599,-5.03E-05
0.390130052,-5.11E-05
0.377555092,-5.13E-05
0.366206957,-5.09E-05
0.353938704,-5.02E-05
0.34167045,-4.92E-05
0.330015609,-4.80E-05
0.317440649,-4.67E-05
0.305785808,-4.55E-05
0.293517555,-4.43E-05
0.281249301,-4.30E-05
0.269901167,-4.19E-05
0.257939619,-4.08E-05
0.245978072,-3.97E-05
0.234016525,-3.86E-05
0.222054978,-3.77E-05
0.209786724,-3.68E-05
0.197825177,-3.59E-05
0.186477042,-3.52E-05
0.173902082,-3.45E-05
0.161940535,-3.37E-05
0.150285694,-3.30E-05
0.13801744,-3.24E-05
0.126055893,-3.20E-05
0.11378764,-3.13E-05
0.101826092,-3.10E-05
0.090171251,-3.03E-05
0.077596291,-2.99E-05
0.066248157,-2.95E-05
0.053979903,-2.91E-05
0.042325062,-2.86E-05
0.029750102,-2.85E-05
0.018401968,-2.81E-05
0.006133714,-2.79E-05
-0.006134539,-2.79E-05
-0.01778938,-2.76E-05
-0.03036434,-2.77E-05
-0.042019181,-2.80E-05
-0.053674022,-2.82E-05
-0.065942276,-2.88E-05
-0.078210529,-2.91E-05
-0.089558664,-2.98E-05
-0.10244033,-3.06E-05
-0.113481759,-3.14E-05
-0.126363425,-3.24E-05
-0.137711559,-3.34E-05
-0.149673107,-3.43E-05
-0.16194136,-3.53E-05
-0.173902908,-3.63E-05
-0.185864455,-3.71E-05
-0.198132708,-3.80E-05
-0.209787549,-3.86E-05
-0.222055803,-3.91E-05
-0.23401735,-3.95E-05
-0.245978897,-4.00E-05
-0.258247151,-4.02E-05
-0.269901992,-4.04E-05
-0.281863539,-4.06E-05
-0.29351838,-4.09E-05
-0.305786634,-4.09E-05
-0.318054887,-4.13E-05
-0.330016435,-4.14E-05
-0.341671276,-4.16E-05
-0.353939529,-4.21E-05
-0.366207783,-4.25E-05
-0.377862624,-4.27E-05
-0.389824171,-4.31E-05
-0.397185123,-4.29E-05
-0.38491687,-4.06E-05
-0.373875441,-3.90E-05
-0.360993775,-3.75E-05
-0.349032228,-3.63E-05
-0.336763974,-3.54E-05
-0.324802427,-3.45E-05
-0.313147586,-3.37E-05
-0.301186039,-3.29E-05
-0.289531198,-3.21E-05
-0.27756965,-3.12E-05
-0.264994691,-3.06E-05
-0.253033143,-2.99E-05
-0.24076489,-2.92E-05
-0.229110049,-2.86E-05
-0.217455208,-2.79E-05
-0.204880248,-2.73E-05
-0.193225407,-2.66E-05
-0.18126386,-2.60E-05
-0.1686889,-2.53E-05
-0.157340765,-2.45E-05
-0.145379218,-2.38E-05
-0.133417671,-2.29E-05
-0.121149417,-2.21E-05
-0.108881163,-2.13E-05
-0.097226322,-2.04E-05
-0.084958069,-1.95E-05
-0.072996522,-1.86E-05
-0.061034974,-1.78E-05
-0.049073427,-1.68E-05
-0.03711188,-1.61E-05
-0.025457039,-1.54E-05
-0.013188785,-1.47E-05
-0.001227238,-1.39E-05
0.010734309,-1.34E-05
0.022695856,-1.29E-05
0.034657404,-1.22E-05
0.046925657,-1.15E-05
0.058580498,-1.11E-05
0.071462165,-1.07E-05
0.083117005,-1.05E-05
0.095078553,-9.92E-06
0.106733394,-9.57E-06
0.119308354,-9.32E-06
0.130963195,-9.33E-06
0.142924742,-9.33E-06
0.154886289,-9.11E-06
0.166847836,-8.91E-06
0.178809384,-9.29E-06
0.190770931,-9.31E-06
0.203039184,-9.19E-06
0.215000732,-9.71E-06
0.226655573,-9.75E-06
0.23861712,-1.01E-05
0.250578667,-1.02E-05
0.262846921,-1.04E-05
0.274808468,-1.05E-05
0.286770015,-1.08E-05
0.298424856,-1.05E-05
0.310999816,-1.09E-05
0.322961363,-1.04E-05
0.334922911,-1.04E-05
0.346884458,-1.02E-05
0.358539299,-9.29E-06
0.370807553,-9.16E-06
0.382462393,-8.02E-06
0.394730647,-6.64E-06
0.406998901,-5.26E-06
0.418653742,-2.56E-06
0.431228702,1.21E-07
0.442883542,4.03E-06
0.455151796,8.90E-06
0.466806637,1.41E-05
0.478461478,2.06E-05
0.491036438,2.69E-05
0.502384572,3.36E-05
0.514959532,3.94E-05
0.526614373,4.47E-05
0.538882627,4.83E-05
0.551150881,5.09E-05
0.562499015,5.20E-05
0.574767269,5.23E-05
0.586728816,5.12E-05
0.598383657,4.99E-05
0.610345204,4.83E-05
0.622613458,4.61E-05
0.634575005,4.41E-05
0.646843259,4.23E-05
0.6584981,4.04E-05
0.670766353,3.85E-05
0.6827279,3.67E-05
0.694689448,3.51E-05
0.706650995,3.37E-05
0.718612542,3.23E-05
0.730574089,3.12E-05
0.74222893,2.99E-05
0.75480389,2.88E-05
0.767072144,2.77E-05
0.779033691,2.68E-05
0.790995238,2.59E-05
0.797129365,2.45E-05
0.784861112,2.29E-05
0.773206271,2.17E-05
0.76155143,2.07E-05
0.748669764,1.98E-05
0.737321629,1.90E-05
0.725053375,1.82E-05
0.713398534,1.75E-05
0.700823575,1.68E-05
0.68947544,1.60E-05
0.67690048,1.54E-05
0.664938933,1.46E-05
0.652363973,1.40E-05
0.641322545,1.32E-05
0.629360997,1.25E-05
0.616786037,1.18E-05
0.60482449,1.07E-05
0.592862943,9.84E-06
0.581208102,8.20E-06
0.569246555,6.42E-06
0.556978301,4.66E-06
0.544710047,1.88E-06
0.533055206,-2.11E-07
0.521093659,-5.89E-06
0.509132112,-1.06E-05
0.496863858,-1.59E-05
0.484902311,-2.20E-05
0.472634057,-2.81E-05
0.46067251,-3.39E-05
0.449017669,-3.91E-05
0.436442709,-4.35E-05
0.425094575,-4.70E-05
0.413133027,-4.95E-05
0.40117148,-5.09E-05
0.38859652,-5.15E-05
0.376941679,-5.13E-05
0.365286838,-5.08E-05
0.353018585,-5.00E-05
0.341363744,-4.87E-05
0.328788784,-4.75E-05
0.316827237,-4.62E-05
0.305479102,-4.49E-05
0.292904142,-4.36E-05
0.280942595,-4.22E-05
0.26959446,-4.11E-05
0.257326207,-4.00E-05
0.245057953,-3.88E-05
0.232789699,-3.80E-05
0.221134859,-3.69E-05
0.208866605,-3.62E-05
0.197211764,-3.52E-05
0.18494351,-3.46E-05
0.172981963,-3.36E-05
0.161327122,-3.32E-05
0.148445456,-3.23E-05
0.137097321,-3.19E-05
0.124829068,-3.11E-05
0.113480933,-3.07E-05
0.100905973,-3.02E-05
0.089251132,-2.96E-05
0.077289585,-2.94E-05
0.065634744,-2.88E-05
0.053673197,-2.84E-05
0.041098237,-2.83E-05
0.029443396,-2.79E-05
0.017175142,-2.75E-05
0.004906889,-2.73E-05
-0.007054659,-2.73E-05
-0.019322912,-2.73E-05
-0.030977753,-2.74E-05
-0.042632594,-2.76E-05
-0.054900848,-2.79E-05
-0.066862395,-2.86E-05
-0.078823942,-2.92E-05
-0.090785489,-2.99E-05
-0.103053743,-3.09E-05
-0.114708584,-3.17E-05
-0.126670131,-3.27E-05
-0.138631678,-3.36E-05
-0.151206638,-3.45E-05
-0.162554773,-3.53E-05
-0.174823027,-3.61E-05
-0.186784574,-3.70E-05
-0.198746121,-3.75E-05
-0.210707668,-3.80E-05
-0.222669216,-3.83E-05
-0.234630763,-3.89E-05
-0.246899016,-3.92E-05
-0.258860564,-3.92E-05
-0.270822111,-3.93E-05
-0.283090365,-3.96E-05
-0.294745206,-3.95E-05
-0.307013459,-3.97E-05
-0.318361594,-3.99E-05
-0.33124326,-3.98E-05
-0.343204807,-4.03E-05
-0.354859648,-4.04E-05
-0.367127902,-4.09E-05
-0.378782743,-4.11E-05
-0.39074429,-4.17E-05
-0.39657171,-4.08E-05
-0.383996751,-3.91E-05
-0.372035203,-3.73E-05
-0.360380362,-3.62E-05
-0.347805402,-3.50E-05
-0.336150561,-3.41E-05
-0.324495721,-3.32E-05
-0.312227467,-3.23E-05
-0.300572626,-3.16E-05
-0.287997666,-3.10E-05
-0.276036119,-3.02E-05
-0.263767865,-2.96E-05
-0.252113024,-2.91E-05
-0.239844771,-2.84E-05
-0.228496636,-2.78E-05
-0.216228382,-2.71E-05
-0.203653423,-2.65E-05
-0.192305288,-2.59E-05
-0.180650447,-2.53E-05
-0.168075487,-2.47E-05
-0.155807233,-2.39E-05
-0.144152393,-2.31E-05
-0.132190845,-2.24E-05
-0.120229298,-2.18E-05
-0.108574457,-2.09E-05
-0.096306203,-1.99E-05
-0.084651363,-1.93E-05
-0.072383109,-1.86E-05
-0.060114855,-1.75E-05
-0.048153308,-1.69E-05
-0.036498467,-1.60E-05
-0.023923507,-1.54E-05
-0.012268666,-1.46E-05
-4.13E-07,-1.38E-05
0.011961135,-1.35E-05
0.023615976,-1.28E-05
0.035884229,-1.21E-05
0.04753907,-1.15E-05
0.059807324,-1.10E-05
0.072075577,-1.06E-05
0.083730418,-1.02E-05
0.095691965,-9.73E-06
0.107653513,-9.45E-06
0.119921766,-9.25E-06
0.131269901,-8.98E-06
0.143844861,-8.91E-06
0.155192995,-8.69E-06
0.167767955,-8.61E-06
0.180036209,-8.58E-06
0.191384344,-8.49E-06
0.203959304,-8.54E-06
0.215614144,-8.59E-06
0.227882398,-8.76E-06
0.239843945,-8.84E-06
0.251498786,-9.10E-06
0.263153627,-9.24E-06
0.275728587,-9.51E-06
0.287690134,-9.65E-06
0.299038269,-9.74E-06
0.311613229,-9.81E-06
0.323881482,-9.90E-06
0.336149736,-9.71E-06
0.347804577,-9.44E-06
0.359766124,-8.99E-06
0.371727672,-8.50E-06
0.383689219,-7.53E-06
0.395650766,-6.27E-06
0.406998901,-4.43E-06
0.419573861,-2.04E-06
0.431535408,2.01E-08
0.443496955,4.94E-06
0.455458502,9.70E-06
0.468033462,1.53E-05
0.47999501,2.15E-05
0.491649851,2.81E-05
0.503304691,3.45E-05
0.515266239,4.04E-05
0.527534492,4.55E-05
0.539189333,4.93E-05
0.551764293,5.16E-05
0.56372584,5.27E-05
0.575380681,5.27E-05
0.587648935,5.21E-05
0.599917189,5.05E-05
0.61157203,4.86E-05
0.623840283,4.69E-05
0.635495124,4.48E-05
0.647456671,4.26E-05
0.659418219,4.08E-05
0.671379766,3.90E-05
0.683648019,3.70E-05
0.695609567,3.58E-05
0.707571114,3.41E-05
0.719532661,3.28E-05
0.730880796,3.15E-05
0.743455756,3.02E-05
0.756030716,2.92E-05
0.767685557,2.82E-05
0.779647104,2.71E-05
0.790995238,2.64E-05
0.796515953,2.48E-05
0.783940993,2.34E-05
0.772286152,2.21E-05
0.760017898,2.11E-05
0.748056351,2.00E-05
0.735788097,1.94E-05
0.72382655,1.84E-05
0.712171709,1.76E-05
0.700210162,1.71E-05
0.688248615,1.64E-05
0.675980361,1.56E-05
0.663712107,1.49E-05
0.652363973,1.43E-05
0.640095719,1.35E-05
0.628440878,1.28E-05
0.615865918,1.20E-05
0.604211077,1.09E-05
0.592862943,9.77E-06
0.580287983,8.28E-06
0.568019729,6.64E-06
0.556364888,4.32E-06
0.543789928,1.55E-06
0.532441794,-9.58E-07
0.520480247,-6.13E-06
0.507905287,-1.11E-05
0.495943739,-1.70E-05
0.484595605,-2.30E-05
0.472020645,-2.90E-05
0.460059098,-3.47E-05
0.447790844,-4.03E-05
0.436442709,-4.43E-05
0.424174456,-4.78E-05
0.411906202,-5.02E-05
0.399637949,-5.14E-05
0.388289814,-5.19E-05
0.376634973,-5.18E-05
0.363753307,-5.10E-05
0.352405172,-5.01E-05
0.340136919,-4.89E-05
0.328175371,-4.74E-05
0.315907118,-4.60E-05
0.30394557,-4.48E-05
0.292290729,-4.36E-05
0.280022476,-4.21E-05
0.268367635,-4.09E-05
0.256099381,-3.98E-05
0.244137834,-3.87E-05
0.232482993,-3.77E-05
0.22021474,-3.68E-05
0.207946486,-3.59E-05
0.196291645,-3.51E-05
0.184330098,-3.44E-05
0.17236855,-3.36E-05
0.160407003,-3.29E-05
0.148445456,-3.23E-05
0.136177202,-3.17E-05
0.124215655,-3.11E-05
0.111947401,-3.06E-05
0.100292561,-3.00E-05
0.08863772,-2.97E-05
0.07606276,-2.92E-05
0.064101212,-2.86E-05
0.052753078,-2.84E-05
0.040791531,-2.79E-05
0.028216571,-2.78E-05
